,Book#,Book_Title,Description,Genres
24,25,the art of logic in an illogical world,"How both logical and emotional reasoning can help us live better in our post-truth worldIn a world where fake news stories change election outcomes, has rationality become futile? In The Art of Logic in an Illogical World, Eugenia Cheng throws a lifeline to readers drowning in the illogic of contemporary life. Cheng is a mathematician, so she knows how to make an airtightHow both logical and emotional reasoning can help us live better in our post-truth worldIn a world where fake news stories change election outcomes, has rationality become futile? In The Art of Logic in an Illogical World, Eugenia Cheng throws a lifeline to readers drowning in the illogic of contemporary life. Cheng is a mathematician, so she knows how to make an airtight argument. But even for her, logic sometimes falls prey to emotion, which is why she still fears flying and eats more cookies than she should. If a mathematician can't be logical, what are we to do? In this book, Cheng reveals the inner workings and limitations of logic, and explains why alogic--for example, emotion--is vital to how we think and communicate. Cheng shows us how to use logic and alogic together to navigate a world awash in bigotry, mansplaining, and manipulative memes. Insightful, useful, and funny, this essential book is for anyone who wants to think more clearly.","['nonfiction', 'philosophy', 'science', 'mathematics', 'logic']"
25,26,Life 3.0: Being Human in the Age of Artificial Intelligence,"How will Artificial Intelligence affect crime, war, justice, jobs, society and our very sense of being human? The rise of AI has the potential to transform our future more than any other technology--and there's nobody better qualified or situated to explore that future than Max Tegmark, an MIT professor who's helped mainstream research on how to keep AI beneficial.How canHow will Artificial Intelligence affect crime, war, justice, jobs, society and our very sense of being human? The rise of AI has the potential to transform our future more than any other technology--and there's nobody better qualified or situated to explore that future than Max Tegmark, an MIT professor who's helped mainstream research on how to keep AI beneficial.How can we grow our prosperity through automation without leaving people lacking income or purpose? What career advice should we give today's kids? How can we make future AI systems more robust, so that they do what we want without crashing, malfunctioning or getting hacked? Should we fear an arms race in lethal autonomous weapons? Will machines eventually outsmart us at all tasks, replacing humans on the job market and perhaps altogether? Will AI help life flourish like never before or give us more power than we can handle?What sort of future do you want? This book empowers you to join what may be the most important conversation of our time. It doesn't shy away from the full range of viewpoints or from the most controversial issues--from superintelligence to meaning, consciousness and the ultimate physical limits on life in the cosmos.","['science', 'nonfiction', 'technology', 'artificialintelligence', 'philosophy']"
26,27,"Suicide of the West: How the Rebirth of Tribalism, Populism, Nationalism, and Identity Politics Is Destroying American Democracy","With his trademark blend of political history, social science, economics, and pop culture, two-time NYT bestselling author, syndicated columnist, National Review senior editor, and American Enterprise Institute fellow Jonah Goldberg makes the timely case that America and other democracies are in peril as they lose the will to defend the values and institutions that sustainWith his trademark blend of political history, social science, economics, and pop culture, two-time NYT bestselling author, syndicated columnist, National Review senior editor, and American Enterprise Institute fellow Jonah Goldberg makes the timely case that America and other democracies are in peril as they lose the will to defend the values and institutions that sustain freedom and prosperity. Instead we are surrendering to populism, nationalism and other forms of tribalism. Only once in the last 250,000 years have humans stumbled upon a way to lift ourselves out of the endless cycle of poverty, hunger, and war that defines most of history--in 18th century England when we accidentally discovered the miracle of liberal democratic capitalism.As Americans we are doubly blessed that those radical ideas were written into the Constitution, laying the groundwork for our uniquely prosperous society:  - Our rights come from God not from the government. - The government belongs to us; we do not belong to the government. - The individual is sovereign. We are all captains of our own souls.  - The fruits of our labors belong to us.In the last few decades, these political virtues have been turned into vices. As we are increasingly taught to view our traditions as a system of oppression, exploitation and ""white privilege,"" the principles of liberty and the rule of law are under attack from left and right.At a moment when authoritarianism, tribalism, identity politics, nationalism, and cults of personality are rotting our democracy from within, Goldberg exposes the West's suicidal tendencies on both sides of the ideological aisle. For the West to survive, we must renew our sense of gratitude for what our civilization has given us and rediscover the ideals that led us out of the bloody muck of the past - or back to the muck we will go.Suicide is painless, liberty takes work.","['politics', 'nonfiction', 'history', 'philosophy', 'cultural', 'economics']"
27,28,Fifty Inventions That Shaped the Modern Economy,"A lively history seen through the fifty inventions that shaped it most profoundly, by the bestselling author of The Undercover Economist and Messy.Who thought up paper money? What was the secret element that made the Gutenberg printing press possible? And what is the connection between The Da Vinci Code and the collapse of Lehman Brothers? Fifty Inventions That Shaped theA lively history seen through the fifty inventions that shaped it most profoundly, by the bestselling author of The Undercover Economist and Messy.Who thought up paper money? What was the secret element that made the Gutenberg printing press possible? And what is the connection between The Da Vinci Code and the collapse of Lehman Brothers? Fifty Inventions That Shaped the Modern Economy paints an epic picture of change in an intimate way by telling the stories of the tools, people, and ideas that had far-reaching consequences for all of us. From the plough to artificial intelligence, from Gillette’s disposable razor to IKEA’s Billy bookcase, bestselling author and Financial Times columnist Tim Harford recounts each invention’s own curious, surprising, and memorable story. Invention by invention, Harford reflects on how we got here and where we might go next. He lays bare often unexpected connections: how the bar code undermined family corner stores, and why the gramophone widened inequality. In the process, he introduces characters who developed some of these inventions, profited from them, and were ruined by them, as he traces the principles that helped explain their transformative effects. The result is a wise and witty book of history, economics, and biography.","['nonfiction', 'history', 'economics', 'science', 'business', 'technology', 'audiobook']"
28,29,Why Buddhism is True: The Science and Philosophy of Meditation and Enlightenment,"From one of America’s greatest minds, a journey through psychology, philosophy, and lots of meditation to show how Buddhism holds the key to moral clarity and enduring happiness.Robert Wright famously explained in The Moral Animal how evolution shaped the human brain. The mind is designed to often delude us, he argued, about ourselves and about the world. And it is designeFrom one of America’s greatest minds, a journey through psychology, philosophy, and lots of meditation to show how Buddhism holds the key to moral clarity and enduring happiness.Robert Wright famously explained in The Moral Animal how evolution shaped the human brain. The mind is designed to often delude us, he argued, about ourselves and about the world. And it is designed to make happiness hard to sustain.But if we know our minds are rigged for anxiety, depression, anger, and greed, what do we do? Wright locates the answer in Buddhism, which figured out thousands of years ago what scientists are only discovering now. Buddhism holds that human suffering is a result of not seeing the world clearly—and proposes that seeing the world more clearly, through meditation, will make us better, happier people.In Why Buddhism is True, Wright leads readers on a journey through psychology, philosophy, and a great many silent retreats to show how and why meditation can serve as the foundation for a spiritual life in a secular age. At once excitingly ambitious and wittily accessible, this is the first book to combine evolutionary psychology with cutting-edge neuroscience to defend the radical claims at the heart of Buddhist philosophy. With bracing honesty and fierce wisdom, it will persuade you not just that Buddhism is true—which is to say, a way out of our delusion—but that it can ultimately save us from ourselves, as individuals and as a species.","['nonfiction', 'philosophy', 'buddhism', 'psychology', 'religion', 'science', 'spirituality']"
29,30,the origins of creativity,"In this profound and lyrical book, one of our most celebrated biologists offers a sweeping examination of the relationship between the humanities and the sciences: what they offer to each other, how they can be united, and where they still fall short. Both endeavours, Edward O. Wilson reveals, have their roots in human creativity—the defining trait of our species.ReflectinIn this profound and lyrical book, one of our most celebrated biologists offers a sweeping examination of the relationship between the humanities and the sciences: what they offer to each other, how they can be united, and where they still fall short. Both endeavours, Edward O. Wilson reveals, have their roots in human creativity—the defining trait of our species.Reflecting on the deepest origins of language, storytelling, and art, Wilson demonstrates how creativity began not ten thousand years ago, as we have long assumed, but over one hundred thousand years ago in the Paleolithic age. Chronicling this evolution of creativity from primate ancestors to humans, The Origins of Creativity shows how the humanities, spurred on by the invention of language, have played a largely unexamined role in defining our species. And in doing so, Wilson explores what we can learn about human nature from a surprising range of creative endeavors—the instinct to create gardens, the use of metaphors and irony in speech, and the power of music and song.Our achievements in science and the humanities, Wilson notes, make us uniquely advanced as a species, but also give us the potential to be supremely dangerous, most worryingly in our abuse of the planet. The humanities in particular suffer from a kind of anthropomorphism, encumbered by a belief that we are the only species among millions that seem to matter, yet Wilson optimistically reveals how researchers will have to address this parlous situation by pushing further into the realm of science, especially fields such as evolutionary biology, neuroscience, and anthropology.With eloquence and humanity, Wilson calls for a transformational ""Third Enlightenment,"" in which the blending of these endeavors will give us a deeper understanding of the human condition and our crucial relationship with the natural world.","['science', 'nonfiction', 'philosophy', 'art', 'psychology', 'history']"
30,31,Inadequate Equilibria: Where and How Civilizations Get Stuck,"When should you think that you may be able to do something unusually well?Whether you’re trying to outperform in science, or in business, or just in finding good deals shopping on eBay, it’s important that you have a sober understanding of your relative competencies. The story only ends there, however, if you’re fortunate enough to live in an adequate civilization.EliezerWhen should you think that you may be able to do something unusually well?Whether you’re trying to outperform in science, or in business, or just in finding good deals shopping on eBay, it’s important that you have a sober understanding of your relative competencies. The story only ends there, however, if you’re fortunate enough to live in an adequate civilization.Eliezer Yudkowsky’s Inadequate Equilibria is a sharp and lively guidebook for anyone questioning when and how they can know better, and do better, than the status quo. Freely mixing debates on the foundations of rational decision-making with tips for everyday life, Yudkowsky explores the central question of when we can (and can’t) expect to spot systemic inefficiencies, and exploit them.","['economics', 'nonfiction', 'philosophy', 'science', 'politics', 'psychology']"
31,32,The Elephant in the Brain: Hidden Motives in Everyday Life,"Human beings are primates, and primates are political animals. Our brains, therefore, are designed not just to hunt and gather, but also to help us get ahead socially, often via deception and self-deception. But while we may be self-interested schemers, we benefit by pretending otherwise. The less we know about our own ugly motives, the better - and thus we don't like to tHuman beings are primates, and primates are political animals. Our brains, therefore, are designed not just to hunt and gather, but also to help us get ahead socially, often via deception and self-deception. But while we may be self-interested schemers, we benefit by pretending otherwise. The less we know about our own ugly motives, the better - and thus we don't like to talk or even think about the extent of our selfishness. This is ""the elephant in the brain."" Such an introspective taboo makes it hard for us to think clearly about our nature and the explanations for our behavior. The aim of this book, then, is to confront our hidden motives directly - to track down the darker, unexamined corners of our psyches and blast them with floodlights. Then, once everything is clearly visible, we can work to better understand ourselves: Why do we laugh? Why are artists sexy? Why do we brag about travel? Why do we prefer to speak rather than listen?Our unconscious motives drive more than just our private behavior; they also infect our venerated social institutions such as Art, School, Charity, Medicine, Politics, and Religion. In fact, these institutions are in many ways designed to accommodate our hidden motives, to serve covert agendas alongside their ""official"" ones. The existence of big hidden motives can upend the usual political debates, leading one to question the legitimacy of these social institutions, and of standard policies designed to favor or discourage them. You won't see yourself - or the world - the same after confronting the elephant in the brain.","['psychology', 'nonfiction', 'science', 'economics', 'philosophy', 'sociology']"
32,33,Soccermatics: Mathematical Adventures in the Beautiful Game,Soccermatics],"['football', 'nonfiction', 'science', 'soccer', 'mathematics']"
33,34,Our Mathematical Universe: My Quest for the Ultimate Nature of Reality,"Our Mathematical Universe is a journey to explore the mysteries uncovered by cosmology and to discover the nature of reality. Our Big Bang, our distant future, parallel worlds, the sub-atomic and intergalactic - none of them are what they seem. But there is a way to understand this immense strangeness - mathematics. Seeking an answer to the fundamental puzzle of why our unOur Mathematical Universe is a journey to explore the mysteries uncovered by cosmology and to discover the nature of reality. Our Big Bang, our distant future, parallel worlds, the sub-atomic and intergalactic - none of them are what they seem. But there is a way to understand this immense strangeness - mathematics. Seeking an answer to the fundamental puzzle of why our universe seems so mathematical, Tegmark proposes a radical idea: that our physical world not only is described by mathematics, but that it is mathematics. This may offer answers to our deepest questions: How large is reality? What is everything made of? Why is our universe the way it is?Table of ContentsPreface 1 What Is Reality? Not What It Seems • What’s the Ultimate Question? • The Journey BeginsPart One: Zooming Out2 Our Place in Space Cosmic Questions • How Big Is Space? • The Size of Earth • Distance to the Moon • Distance to the Sun and the Planets • Distance to the Stars • Distance to the Galaxies • What Is Space?3 Our Place in TimeWhere Did Our Solar System Come From? • Where Did theGalaxies Come From? • Where Did the Mysterious MicrowavesCome From? • Where Did the Atoms Come From?4 Our Universe by NumbersWanted: Precision Cosmology • Precision Microwave-Background Fluctuations • Precision Galaxy Clustering • The Ultimate Map of Our Universe • Where Did Our Big Bang Come From?5 Our Cosmic Origins What’s Wrong with Our Big Bang? • How Inflation Works • The Gift That Keeps on Giving • Eternal Inflation6 Welcome to the Multiverse The Level I Multiverse • The Level II Multiverse • Multiverse Halftime RoundupPart Two: Zooming In7 Cosmic Legos Atomic Legos • Nuclear Legos • Particle-Physics Legos • Mathematical Legos • Photon Legos • Above the Law? • Quanta and Rainbows • Making Waves • Quantum Weirdness • The Collapse of Consensus • The Weirdness Can’t Be Confined • Quantum Confusion8 The Level III Multiverse The Level III Multiverse • The Illusion of Randomness • Quantum Censorship • The Joys of Getting Scooped • Why Your Brain Isn’t a Quantum Computer • Subject, Object and Environment • Quantum Suicide • Quantum Immortality? • Multiverses Unified • Shifting Views: Many Worlds or Many Words?Part Three: Stepping Back9 Internal Reality, External Reality and Consensus Reality External Reality and Internal Reality • The Truth, the Whole Truth and Nothing but the Truth • Consensus Reality • Physics: Linking External to Consensus Reality10 Physical Reality and Mathematical Reality Math, Math Everywhere! • The Mathematical Universe Hypothesis • What Is a Mathematical Structure?11 Is Time an Illusion? How Can Physical Reality Be Mathematical? • What Are You? • Where Are You? (And What Do You Perceive?) • When Are You?12 The Level IV Multiverse Why I Believe in the Level IV Multiverse • Exploring the Level IV Multiverse: What’s Out There? • Implications of the Level IV Multiverse • Are We Living in a Simulation? • Relation Between the MUH, the Level IV Multiverse and Other Hypotheses •Testing the Level IV Multiverse13 Life, Our Universe and Everything How Big Is Our Physical Reality? • The Future of Physics • The Future of Our Universe—How Will It End? • The Future of Life •The Future of You—Are You Insignificant?Acknowledgments Suggestions for Further Reading Index","['science', 'nonfiction', 'physics', 'mathematics', 'philosophy']"
34,35,"Everybody Lies: Big Data, New Data, and What the Internet Can Tell Us About Who We Really Are","Foreword by Steven PinkerBlending the informed analysis of The Signal and the Noise with the instructive iconoclasm of Think Like a Freak, a fascinating, illuminating, and witty look at what the vast amounts of information now instantly available to us reveals about ourselves and our world—provided we ask the right questions.By the end of an average day in the early twentyForeword by Steven PinkerBlending the informed analysis of The Signal and the Noise with the instructive iconoclasm of Think Like a Freak, a fascinating, illuminating, and witty look at what the vast amounts of information now instantly available to us reveals about ourselves and our world—provided we ask the right questions.By the end of an average day in the early twenty-first century, human beings searching the internet will amass eight trillion gigabytes of data. This staggering amount of information—unprecedented in history—can tell us a great deal about who we are—the fears, desires, and behaviors that drive us, and the conscious and unconscious decisions we make. From the profound to the mundane, we can gain astonishing knowledge about the human psyche that less than twenty years ago, seemed unfathomable.Everybody Lies offers fascinating, surprising, and sometimes laugh-out-loud insights into everything from economics to ethics to sports to race to sex, gender and more, all drawn from the world of big data. What percentage of white voters didn’t vote for Barack Obama because he’s black? Does where you go to school effect how successful you are in life? Do parents secretly favor boy children over girls? Do violent films affect the crime rate? Can you beat the stock market? How regularly do we lie about our sex lives and who’s more self-conscious about sex, men or women?Investigating these questions and a host of others, Seth Stephens-Davidowitz offers revelations that can help us understand ourselves and our lives better. Drawing on studies and experiments on how we really live and think, he demonstrates in fascinating and often funny ways the extent to which all the world is indeed a lab. With conclusions ranging from strange-but-true to thought-provoking to disturbing, he explores the power of this digital truth serum and its deeper potential—revealing biases deeply embedded within us, information we can use to change our culture, and the questions we’re afraid to ask that might be essential to our health—both emotional and physical. All of us are touched by big data everyday, and its influence is multiplying. Everybody Lies challenges us to think differently about how we see it and the world.","['nonfiction', 'science', 'psychology', 'economics', 'technology', 'business', 'sociology']"
35,36,Homo Deus: A Brief History of Tomorrow,"Yuval Noah Harari, author of the critically-acclaimed New York Times bestseller and international phenomenon Sapiens, returns with an equally original, compelling, and provocative book, turning his focus toward humanity’s future, and our quest to upgrade humans into gods.Over the past century humankind has managed to do the impossible and rein in famine, plague, and war. TYuval Noah Harari, author of the critically-acclaimed New York Times bestseller and international phenomenon Sapiens, returns with an equally original, compelling, and provocative book, turning his focus toward humanity’s future, and our quest to upgrade humans into gods.Over the past century humankind has managed to do the impossible and rein in famine, plague, and war. This may seem hard to accept, but, as Harari explains in his trademark style—thorough, yet riveting—famine, plague and war have been transformed from incomprehensible and uncontrollable forces of nature into manageable challenges. For the first time ever, more people die from eating too much than from eating too little; more people die from old age than from infectious diseases; and more people commit suicide than are killed by soldiers, terrorists and criminals put together. The average American is a thousand times more likely to die from binging at McDonalds than from being blown up by Al Qaeda.What then will replace famine, plague, and war at the top of the human agenda? As the self-made gods of planet earth, what destinies will we set ourselves, and which quests will we undertake? Homo Deus explores the projects, dreams and nightmares that will shape the twenty-first century—from overcoming death to creating artificial life. It asks the fundamental questions: Where do we go from here? And how will we protect this fragile world from our own destructive powers? This is the next stage of evolution. This is Homo Deus.With the same insight and clarity that made Sapiens an international hit and a New York Times bestseller, Harari maps out our future. ","['nonfiction', 'history', 'science', 'philosophy']"
36,37,"Scale: The Universal Laws of Life, Growth, and Death in Organisms, Cities, and Companies"," Geoffrey West's research centres on a quest to find unifying principles and patterns connecting everything, from cells and ecosystems to cities, social networks and businesses. Scale addresses big, urgent questions about global sustainability, population explosion, urbanization, ageing, cancer, human lifespans and the increasing pace of life, but also encourages us to queGeoffrey West's research centres on a quest to find unifying principles and patterns connecting everything, from cells and ecosystems to cities, social networks and businesses.Scale addresses big, urgent questions about global sustainability, population explosion, urbanization, ageing, cancer, human lifespans and the increasing pace of life, but also encourages us to question the world around us. Why can we live for 120 years but not for a thousand? Why does the pace of life continually increase? Why do mice live for just two or three years and elephants for up to 75? Why do companies behave like mice, and are they all destined to die? Do cities, companies and human beings have natural, pre-determined lifespans? Are we just a fascinating experiment in natural selection that is ultimately doomed to fail? And what is the origin of the magic number 4 that seems to determine much of physiology and life-history from birth to death?","['science', 'nonfiction', 'economics', 'biology', 'physics', 'business']"
37,38,Skin in the Game: Hidden Asymmetries in Daily Life,"From the New York Times bestselling author of The Black Swan, a bold new work that challenges many of our long-held beliefs about risk and reward, politics and religion, finance and personal responsibility In his most provocative and practical book yet, one of the foremost thinkers of our time redefines what it means to understand the world, succeed in a profession, contriFrom the New York Times bestselling author of The Black Swan, a bold new work that challenges many of our long-held beliefs about risk and reward, politics and religion, finance and personal responsibility In his most provocative and practical book yet, one of the foremost thinkers of our time redefines what it means to understand the world, succeed in a profession, contribute to a fair and just society, detect nonsense, and influence others. Citing examples ranging from Hammurabi to Seneca, Antaeus the Giant to Donald Trump, Nassim Nicholas Taleb shows how the willingness to accept one’s own risks is an essential attribute of heroes, saints, and flourishing people in all walks of life. As always both accessible and iconoclastic, Taleb challenges long-held beliefs about the values of those who spearhead military interventions, make financial investments, and propagate religious faiths. Among his insights:• For social justice, focus on symmetry and risk sharing. You cannot make profits and transfer the risks to others, as bankers and large corporations do. You cannot get rich without owning your own risk and paying for your own losses. Forcing skin in the game corrects this asymmetry better than thousands of laws and regulations.• Ethical rules aren’t universal. You’re part of a group larger than you, but it’s still smaller than humanity in general.• Minorities, not majorities, run the world. The world is not run by consensus but by stubborn minorities imposing their tastes and ethics on others.• You can be an intellectual yet still be an idiot. “Educated philistines” have been wrong on everything from Stalinism to Iraq to low-carb diets.• Beware of complicated solutions (that someone was paid to find). A simple barbell can build muscle better than expensive new machines.• True religion is commitment, not just faith. How much you believe in something is manifested only by what you’re willing to risk for it.The phrase “skin in the game” is one we have often heard but rarely stopped to truly dissect. It is the backbone of risk management, but it’s also an astonishingly rich worldview that, as Taleb shows in this book, applies to all aspects of our lives. As Taleb says, “The symmetry of skin in the game is a simple rule that’s necessary for fairness and justice, and the ultimate BS-buster,” and “Never trust anyone who doesn’t have skin in the game. Without it, fools and crooks will benefit, and their mistakes will never come back to haunt them.”","['nonfiction', 'philosophy', 'business', 'economics', 'psychology', 'finance']"
38,39,The End of Average: How We Succeed in a World That Values Sameness,"In this ground-breaking book perfect for readers of The Power of Habit and Quiet, Harvard scientist Todd Rose shows how our one-size-fits-all world is actually one-size-fits-none.Each of us knows we’re different. We’re a little taller or shorter than the average, our salary is a bit higher or lower than the average, and we wonder about who it is that is buying the average-In this ground-breaking book perfect for readers of The Power of Habit and Quiet, Harvard scientist Todd Rose shows how our one-size-fits-all world is actually one-size-fits-none.Each of us knows we’re different. We’re a little taller or shorter than the average, our salary is a bit higher or lower than the average, and we wonder about who it is that is buying the average-priced home. All around us, we think, are the average people—with the average height, the average salary and the average house.But the average doesn’t just influence how we see ourselves—our entire social system has been built around this average-size-fits-all model. Schools are designed for the average student. Healthcare is designed for the average patient. Employers try to fill average job descriptions with employees on an average career trajectory. Our government implements programs and initiatives to serve the average person. For more than a century, we’ve believed that the best way to run our institutions is by focusing on the average person. But when you actually drill down into the numbers, you find an amazing fact: no one is average—which means that our society built for everyone is actually serving no one.In the 1950s, the American Air Force found itself with a massive problem—performance in expensive, custom-made planes was suffering terribly, with crashes peaking at seventeen in a single day. Since the state-of-the-art planes they were flying had been meticulously crafted to fit the average pilot, pilot error was assumed to be at fault. Until, that is, the Air Force investigated just how many of their pilots were actually average. The shocking answer: out of thousands of active-duty pilots, exactly zero were average. Not one. This discovery led to simple solutions (like adjustable seats) that dramatically reduced accidents, improved performance, and expanded the pool of potential pilots. It also led to a huge change in thinking: planes didn’t need to be designed for everyone—they needed to be designed so they could adapt to suit the individual flying them.The End of Average shows how success lies in customizing to our individual needs in all aspects of our lives, from the way we mark tests to the medical treatment we receive. Using principles from The Science of the Individual, it shows how we can break down the average to create individualized success that benefits everyone in the long run. It's time we stopped settling for average, and in The End of Average, Todd Rose will show you how.","['nonfiction', 'psychology', 'education', 'business', 'selfhelp', 'science', 'personaldevelopment']"
39,40,Algorithms to Live By: The Computer Science of Human Decisions,"A fascinating exploration of how insights from computer algorithms can be applied to our everyday lives, helping to solve common decision-making problems and illuminate the workings of the human mindAll our lives are constrained by limited space and time, limits that give rise to a particular set of problems. What should we do, or leave undone, in a day or a lifetime? HowA fascinating exploration of how insights from computer algorithms can be applied to our everyday lives, helping to solve common decision-making problems and illuminate the workings of the human mindAll our lives are constrained by limited space and time, limits that give rise to a particular set of problems. What should we do, or leave undone, in a day or a lifetime? How much messiness should we accept? What balance of new activities and familiar favorites is the most fulfilling? These may seem like uniquely human quandaries, but they are not: computers, too, face the same constraints, so computer scientists have been grappling with their version of such issues for decades. And the solutions they've found have much to teach us.In a dazzlingly interdisciplinary work, acclaimed author Brian Christian and cognitive scientist Tom Griffiths show how the algorithms used by computers can also untangle very human questions. They explain how to have better hunches and when to leave things to chance, how to deal with overwhelming choices and how best to connect with others. From finding a spouse to finding a parking spot, from organizing one's inbox to understanding the workings of memory, Algorithms to Live By transforms the wisdom of computer science into strategies for human living.","['nonfiction', 'science', 'psychology', 'computerscience', 'technology']"
40,41,when:the scientific secrets of perfect timing,"Everyone knows that timing is everything. But we don't know much about timing itself. Our lives are a never-ending stream of ""when"" decisions: when to start a business, schedule a class, get serious about a person. Yet we make those decisions based on intuition and guesswork.Timing, it's often assumed, is an art. In When: The Scientific Secrets of Perfect Timing, Pink showEveryone knows that timing is everything. But we don't know much about timing itself. Our lives are a never-ending stream of ""when"" decisions: when to start a business, schedule a class, get serious about a person. Yet we make those decisions based on intuition and guesswork.Timing, it's often assumed, is an art. In When: The Scientific Secrets of Perfect Timing, Pink shows that timing is really a science.Drawing on a rich trove of research from psychology, biology, and economics, Pink reveals how best to live, work, and succeed. How can we use the hidden patterns of the day to build the ideal schedule? Why do certain breaks dramatically improve student test scores? How can we turn a stumbling beginning into a fresh start? Why should we avoid going to the hospital in the afternoon? Why is singing in time with other people as good for you as exercise? And what is the ideal time to quit a job, switch careers, or get married?","['nonfiction', 'psychology', 'science', 'business', 'selfhelp']"
41,42,Sensemaking: The Power of the Humanities in the Age of the Algorithm,"A Financial Times ""Business Book of the Month"" Based on his work at some of the world's largest companies, including Ford, Adidas, and Chanel, Christian Madsbjerg's Sensemaking is a provocative stand against the tyranny of big data and scientism, and an urgent, overdue defense of human intelligence. Humans have become subservient to algorithms. Every day brings a new MoneyA Financial Times ""Business Book of the Month"" Based on his work at some of the world's largest companies, including Ford, Adidas, and Chanel, Christian Madsbjerg's Sensemaking is a provocative stand against the tyranny of big data and scientism, and an urgent, overdue defense of human intelligence. Humans have become subservient to algorithms. Every day brings a new Moneyball fix--a math whiz who will crack open an industry with clean fact-based analysis rather than human intuition and experience. As a result, we have stopped thinking. Machines do it for us. Christian Madsbjerg argues that our fixation with data often masks stunning deficiencies, and the risks for humankind are enormous. Blind devotion to number crunching imperils our businesses, our educations, our governments, and our life savings. Too many companies have lost touch with the humanity of their customers, while marginalizing workers with liberal arts-based skills. Contrary to popular thinking, Madsbjerg shows how many of today's biggest success stories stem not from ""quant"" thinking but from deep, nuanced engagement with culture, language, and history. He calls his method sensemaking. In this landmark book, Madsbjerg lays out five principles for how business leaders, entrepreneurs, and individuals can use it to solve their thorniest problems. He profiles companies using sensemaking to connect with new customers, and takes readers inside the work process of sensemaking ""connoisseurs"" like investor George Soros, architect Bjarke Ingels, and others. Both practical and philosophical, Sensemaking is a powerful rejoinder to corporate groupthink and an indispensable resource for leaders and innovators who want to stand out from the pack.","['nonfiction', 'business', 'psychology', 'science', 'technology', 'humanities', 'philosophy']"
42,43,"Peak Performance: Elevate Your Game, Avoid Burnout, and Thrive with the New Science of Success","A few common principles drive performance, regardless of the field or the task at hand. Whether someone is trying to qualify for the Olympics, break ground in mathematical theory or craft an artistic masterpiece, many of the practices that lead to great success are the same. In Peak Performance, Brad Stulberg, a former McKinsey and Company consultant and journalist who covA few common principles drive performance, regardless of the field or the task at hand. Whether someone is trying to qualify for the Olympics, break ground in mathematical theory or craft an artistic masterpiece, many of the practices that lead to great success are the same. In Peak Performance, Brad Stulberg, a former McKinsey and Company consultant and journalist who covers health and the science of human performance, and Steve Magness, a performance scientist and coach of Olympic athletes, team up to demystify these practices and demonstrate how everyone can achieve their best.The first book of its kind, Peak Performance combines the inspiring stories of top performers across a range of capabilities - from athletic, to intellectual, to artistic - with the latest scientific insights into the cognitive and neurochemical factors that drive performance in all domains. In doing so, Peak Performance uncovers new linkages that hold promise as performance enhancers but have been overlooked in our traditionally-siloed ways of thinking. The result is a life-changing book in which readers will learn how to enhance their performance by a myriad of ways including: optimally alternating between periods of intense work and rest; developing and harnessing the power of a self-transcending purpose; and priming the body and mind for enhanced productivity.In revealing the science of great performance and the stories of great performers across a wide range of capabilities, Peak Performance uncovers the secrets of success, and coaches readers on how to use them. If you want to take your game to the next level, whatever ""your game"" may be, Peak Performance will teach you how.","['nonfiction', 'selfhelp', 'psychology', 'personaldevelopment', 'productivity', 'business']"
43,44,The Culture Code: The Secrets of Highly Successful Groups,"An essential book that unlocks the secrets of highly successful groups and provides readers with a toolkit for building a cohesive, innovative culture, from the New York Times bestselling author of The Talent Code]","['business', 'nonfiction', 'leadership', 'psychology', 'management']"
44,45,"nine lies about work:
A freethinking Leader's guide to the Real world","How do you get to what's real?Your organization's culture is the key to its success. Strategic planning is essential. People's competencies should be measured and their weaknesses shored up. People crave feedback.These may sound like basic truths of our work lives today. But actually, they're lies. As strengths guru and bestselling author Marcus Buckingham and Cisco LeaderHow do you get to what's real?Your organization's culture is the key to its success. Strategic planning is essential. People's competencies should be measured and their weaknesses shored up. People crave feedback.These may sound like basic truths of our work lives today. But actually, they're lies. As strengths guru and bestselling author Marcus Buckingham and Cisco Leadership and Team Intelligence head Ashley Goodall show in this provocative, inspiring book, there are some big lies--distortions, faulty assumptions, wrong thinking--running through our organizational lives. Nine lies, to be exact. They cause dysfunction and frustration and ultimately result in a strange feeling of unreality that pervades our workplaces.But there are those who can get past the lies and discover what's real. These are freethinking leaders who recognize the power and beauty of our individual uniqueness, who know that emergent patterns are more valuable than received wisdom, and that evidence is more powerful than dogma. With engaging stories and incisive analysis, the authors reveal the essential truths that such freethinking leaders will recognize immediately: that it is the strength and cohesiveness of your team, not your company's culture, that matters most; that we need less focus on top-down planning and more on giving our people reliable, real-time intelligence; that rather than trying to align people's goals we should strive to align people's sense of purpose and meaning; that people don't want constant feedback, they want helpful attention. This is the real world of work.If you embrace each person's uniqueness and see this as key for all healthy organizations; if you reject dogma and engage with the real world; if you seek out emergent patterns and put your faith in evidence, not philosophy; if you thrill to the power of teams--if you do all of these, then you are a freethinking leader, and this book is for you.","['business', 'leadership', 'nonfiction', 'management', 'selfhelp', 'buisness', 'psychology']"
